Date,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2012-09-11,2012-09-11,291.7411506640835,292.5125376973915,288.6941237001691,290.7768859863281,2566981,286.1767712368821,293.9969928423057,47.22795607734027,-7.109722979273897,-7.813492567540807,0.7037695882669102,1,0,0,0,1,0,0,1,0,0,0,0,1.783103594596397
2012-09-12,2012-09-12,294.6339290984469,299.30084752136514,290.1984095352601,298.6451721191406,4609377,290.3329048643016,294.34130241836755,52.85486233174057,-5.645124515934356,-7.379818957219517,1.7346944412851615,0,0,0,0,1,0,0,1,0,0,0,0,3.188735729730931
2012-09-13,2012-09-13,299.3007885236129,301.19072258600346,294.86529454364563,298.99224853515625,3930619,293.2193527545865,294.6858169455371,53.09245776315078,-4.405628176531138,-6.784980801081842,2.3793526245507035,0,0,0,0,1,0,0,1,0,0,0,0,5.125823819820621
2012-09-14,2012-09-14,308.3261666031499,314.7287370315824,307.9018900639919,312.41455078125,7876882,299.6177520968077,295.99905648892326,61.22985002538858,-2.3135812564951266,-5.8907008921644985,3.577119635669372,0,0,1,0,1,0,1,0,1,0,1,0,7.0838825465470805
2012-09-17,2012-09-17,316.2714807469816,320.24417746563614,311.68170399441937,316.23291015625,6782123,305.1561381166218,297.4978604642808,63.186375990213115,-0.3435490897261957,-4.781270531676838,4.437721441950642,0,0,0,0,1,0,1,0,1,0,1,0,9.72258836436472
2012-09-18,2012-09-18,314.72866675949894,316.1943243131669,311.64309401763086,312.6459045410156,3456135,307.65272692475304,298.61993780329817,60.1171662020062,0.9176955968658262,-3.641477305968305,4.559172902834131,0,0,0,0,1,0,1,0,1,0,0,0,11.815058909576479
2012-09-20,2012-09-20,309.3288979064041,309.98457313507936,302.38634093844354,303.2348937988281,3980814,306.18011588277807,298.9617863955596,52.86217263361424,1.1446562967065006,-2.684250585433344,3.8289068821398446,0,0,0,0,1,0,1,0,0,0,0,0,12.543372606384319
2012-09-21,2012-09-21,305.8576317952204,319.3184698454778,305.8576317952204,315.7700500488281,7391839,309.37676060479475,300.2068429624684,59.81799251190141,2.309385476961097,-1.6855233729544556,3.9949088499155527,0,0,0,0,1,0,1,0,0,0,1,0,14.028915070922878
2012-09-24,2012-09-24,315.8857640159148,320.05128851076626,312.02877950331066,313.7258605957031,4597649,310.8264606017642,301.20825167604136,58.30695514822376,3.032535556661003,-0.741911587031364,3.774447143692367,0,0,0,0,1,0,1,0,0,0,0,0,16.019276713948585
2012-09-25,2012-09-25,313.571598241638,315.0372559091148,305.97336520008525,308.8275146484375,4429932,310.16014528398864,301.7726415258485,54.73873901812589,3.173796078505461,0.041229946076001056,3.13256613242946,0,0,0,0,1,0,1,0,0,0,0,0,15.679517809299057
2012-09-26,2012-09-26,307.0919396543511,312.4145582742131,304.00636614953703,305.62628173828125,4838648,308.64885743541953,302.05809635639906,52.478448423158596,2.9929326531744778,0.6315704874956964,2.3613621656787815,0,0,0,0,1,0,1,0,0,0,0,0,14.786345206199371
2012-09-27,2012-09-27,305.6262584732873,310.40891310246815,304.7005889631974,305.7033996582031,5289924,307.6670381763474,302.32811882319936,52.5293015694729,2.8232749015479612,1.0699113703061496,1.7533635312418117,0,0,0,0,1,0,1,0,0,0,1,0,14.524230137466247
2012-09-28,2012-09-28,309.32891119197035,315.96290376835503,307.6318548161025,309.25177001953125,5561478,308.19528212407533,302.8409818747795,54.91971065367943,2.9412389722422745,1.4441768906933745,1.4970620815489,0,0,0,0,1,0,1,0,0,0,1,0,14.682820091644166
2012-10-01,2012-10-01,310.0231738866038,310.56316212302875,303.1577821286233,307.74755859375,3955264,308.04604094730024,303.20443200211065,53.685558492485995,2.880148498253959,1.7313712122054914,1.1487772860484677,0,0,0,0,1,0,1,0,0,0,0,0,13.788546727762778
2012-10-03,2012-10-03,308.1718643008176,313.0316353451925,306.62906533071,311.4888610839844,4456765,309.19364765952827,303.8180934155828,56.31504521000738,3.097914866877204,2.004679943139834,1.09323492373737,0,0,0,0,1,0,1,0,0,0,0,0,13.525697818508519
