,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
33,34,,long,2009-03-16,446.02358093261716,2009-04-08,457.3727878108762,2.54,1908.4828281544133,0.81,200,15,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
34,35,,long,2009-05-18,554.4152857234544,2009-06-03,630.2995518495203,13.69,11027.22546763799,4.45,150,12,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
35,36,,long,2009-07-08,633.3499084472656,2009-07-30,696.1454329059397,9.91,9020.480066395152,3.37,150,16,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
36,37,,long,2009-09-17,669.5308715820313,2009-10-06,659.1248727793658,-1.55,-1959.4965437082474,-0.71,150,10,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
37,38,,long,2009-11-20,619.0261413574219,2009-12-01,645.4434429437435,4.27,3583.2543626578945,1.29,150,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
38,39,,long,2010-02-17,745.9740234375,2010-02-26,742.8232269488306,-0.42,-919.2586484163198,-0.33,150,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
39,40,,long,2010-08-19,722.7279968261719,2010-08-20,728.0502031947652,0.74,242.0649968551482,0.09,100,1,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
40,41,,long,2010-11-03,883.2354075689116,2010-11-15,883.2355488698564,0.0,-353.2800611932689,-0.13,100,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
41,42,,long,2010-12-10,886.1161987304688,2010-12-23,891.4899548387589,0.61,181.85438011516254,0.06,100,8,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
42,43,,long,2011-03-16,852.5201416015625,2011-03-23,841.962781743048,-1.24,-1394.6325705203694,-0.5,100,5,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
43,44,,long,2011-07-28,857.6502746582031,2011-07-29,835.721180785556,-2.56,-2531.583678353458,-0.91,100,1,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
44,45,,long,2011-09-27,916.6336120605469,2011-09-28,920.5594086190813,0.43,25.141051717518735,0.01,100,1,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
45,46,,long,2011-10-28,1031.0627502441407,2011-11-09,1030.4698309846272,-0.06,-471.59844219711005,-0.17,100,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
46,47,,long,2011-12-07,1030.2304992675781,2012-02-02,1017.146140995539,-1.27,-1717.9111552565373,-0.62,100,40,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
47,48,,long,2012-03-19,1163.3378173828125,2012-03-26,1158.3814347514337,-0.43,-959.9821135647294,-0.35,100,5,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
