stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
NAUKRI,NAUKRI,500000,393026.8369237839,-21.394632615243225,43.54838709677419,-106973.1630762161,-1725.3735980034853,16041.487691820117,-15431.238021581694,64231.782137643946,-188644.4229476528
CADILAHC,CADILAHC,500000,385214.6840886033,-22.957063182279338,45.0,-114785.31591139665,-1434.816448892458,11507.664463753097,-12024.119013784277,30937.543648227216,-75723.6496703526
DRREDDY,DRREDDY,500000,375418.3412237792,-24.916331755244162,48.148148148148145,-124581.65877622076,-1538.0451700767996,14537.546248201472,-16465.380058478047,44157.3767177034,-110809.41142317001
DLF,DLF,500000,366319.75556987245,-26.73604888602551,53.84615384615385,-133680.24443012752,-5141.547862697213,16391.148094535798,-30263.02647946906,47007.891960004934,-131308.894792732
PIDILITIND,PIDILITIND,500000,363940.6609768742,-27.211867804625168,48.148148148148145,-136059.33902312588,-2519.617389317146,12468.993388122391,-16437.613111225288,38238.483139145086,-108770.0916513892
LT,LT,500000,363162.74602342537,-27.36745079531493,54.54545454545454,-136837.25397657463,-3109.9375903766963,10154.723074162395,-19027.530387823605,48253.26691782836,-69452.5218978676
AUROPHARMA,AUROPHARMA,500000,361221.42905809334,-27.75571418838133,56.666666666666664,-138778.57094190666,-4625.952364730222,38770.24481212358,-61374.82559600057,96191.07817623146,-302995.5838737291
TORNTPHARM,TORNTPHARM,500000,353949.9491941089,-29.210010161178225,37.28813559322034,-146050.0508058911,-2475.424589930358,13496.214973414222,-11972.075141108215,61908.8297329672,-53980.91687115605
BAJAJHLDNG,BAJAJHLDNG,500000,353008.5737088261,-29.39828525823478,39.39393939393939,-146991.42629117385,-2227.1428225935433,7134.620516254288,-8312.288992844633,32814.32750976563,-75719.40082566281
HINDPETRO,HINDPETRO,500000,350173.28155086807,-29.965343689826383,37.03703703703704,-149826.71844913196,-5549.137720338221,17323.83747295427,-19003.829010510275,45630.55771527583,-57041.74180302408
PGHH,PGHH,500000,349590.55537457595,-30.08188892508481,36.58536585365854,-150409.44462542408,-3668.5230396444895,7168.325027200834,-9920.550770516791,31092.699562703707,-33804.44347437686
MARICO,MARICO,500000,348976.3644079078,-30.204727118418432,42.857142857142854,-151023.63559209218,-3082.1150120835136,11009.88359852873,-13651.113970042697,46101.02570589683,-127983.00162717237
SHREECEM,SHREECEM,500000,336546.5662660606,-32.69068674678788,48.0,-163453.43373393937,-3269.0686746787874,19372.375585804668,-24168.863376663507,72667.5820195611,-176281.3288618289
BERGEPAINT,BERGEPAINT,500000,328895.38211885584,-34.220923576228834,45.09803921568628,-171104.6178811441,-3354.9925074734138,20822.381674724835,-23214.978442850545,55888.77417525239,-104700.10984774311
IGL,IGL,500000,326191.60459300596,-34.7616790813988,35.294117647058826,-173808.395406994,-3408.0077530783137,7946.162071635281,-9601.191293831183,35071.53964894833,-40547.41010671353
HDFC,HDFC,500000,324671.0220185775,-35.0657955962845,40.909090909090914,-175328.9779814225,-2656.4996663851894,7616.329422720093,-9768.458266535,66907.95595644183,-92855.23351718308
AMBUJACEM,AMBUJACEM,500000,314347.60170049575,-37.13047965990085,27.450980392156865,-185652.39829950428,-3640.2431039118487,7309.7947241927595,-7783.500660491972,27064.039026726306,-63890.45674048324
YESBANK,YESBANK,500000,312112.65502514434,-37.57746899497113,48.214285714285715,-187887.34497485557,-3355.131160265278,21930.544205734677,-26896.966845851446,90780.82627553941,-282695.37249320984
ULTRACEMCO,ULTRACEMCO,500000,301286.42987696355,-39.74271402460729,51.5625,-198713.5701230365,-3104.8995331724454,7203.368417026916,-14078.217028545956,51797.03643782434,-118376.76688569915
BRITANNIA,BRITANNIA,500000,298957.9446031858,-40.20841107936284,25.0,-201042.0553968143,-4188.376154100298,18779.489703856223,-11844.331440085803,45278.29553612254,-81528.14960768497
INFY,INFY,500000,298180.21048847947,-40.3639579023041,44.44444444444444,-201819.7895115205,-3203.488722405087,18572.38674167558,-20624.18909366962,61609.08955918052,-139619.09726287946
ONGC,ONGC,500000,294085.02151928225,-41.18299569614355,46.15384615384615,-205914.97848071772,-5279.8712430953265,9603.201311996967,-18036.790576031577,46781.43698712922,-122924.11435627827
ITC,ITC,500000,292061.7168419422,-41.58765663161156,42.30769230769231,-207938.28315805778,-3998.8131376549572,12374.23006445773,-16005.711485870923,85120.84966987607,-82573.97963235975
BAJAJFINSV,BAJAJFINSV,500000,291755.59855905804,-41.648880288188394,39.705882352941174,-208244.40144094193,-3062.417668249146,7752.021470415161,-10184.121491271982,38315.51046688749,-54904.49409692651
SIEMENS,SIEMENS,500000,288306.3778089876,-42.338724438202476,48.78048780487805,-211693.62219101225,-5163.259077829567,13668.43567132569,-23098.206457977427,34793.60221827363,-114068.55342504133
HINDALCO,HINDALCO,500000,283754.8317508693,-43.24903364982614,40.0,-216245.16824913071,-14416.344549942047,13258.167202201914,-32866.019051371346,54839.01512742455,-67353.44591253101
TATASTEEL,TATASTEEL,500000,277741.05499223736,-44.45178900155253,67.9245283018868,-222258.94500776255,-4193.565000146463,18573.99446153666,-52407.22033076955,109248.89711300902,-427585.91650567146
CHOLAFIN,CHOLAFIN,500000,276605.63722534396,-44.67887255493121,51.85185185185185,-223394.36277465604,-8273.865287950224,13627.672861147907,-31860.137140825136,29430.885500524808,-109138.76974898622
APOLLOHOSP,APOLLOHOSP,500000,275903.0645883207,-44.819387082335865,44.680851063829785,-224096.93541167935,-4768.019902376156,5067.563296946722,-12712.144794136942,16831.54562856493,-59564.65707107485
TATAMOTORS,TATAMOTORS,500000,269690.61793260416,-46.06187641347917,55.44554455445545,-230309.38206739596,-2280.2909115583757,27532.02314944524,-39380.05952080732,85857.12561660167,-622672.9465827942
EICHERMOT,EICHERMOT,500000,235639.26399573818,-52.87214720085236,54.90196078431373,-264360.73600426177,-5183.543843220819,23158.652304684256,-39687.08697980091,62143.66465313334,-157834.01635684643
PEL,PEL,500000,229656.68426320865,-54.06866314735828,41.935483870967744,-270343.3157367913,-8720.752120541654,9970.753912987293,-22220.17314475701,33762.09386570677,-112783.4128544729
M&M,M&M,500000,218865.00089826575,-56.22699982034685,16.666666666666664,-281134.99910173425,-46855.83318362237,23515.120271326447,-60930.02387461214,23515.120271326447,-226093.9013919564
IOC,IOC,500000,192452.54491187702,-61.5094910176246,11.11111111111111,-307547.455088123,-34171.939454235886,14961.40827113476,-40313.60791990722,14961.40827113476,-189657.89155993142
JINDALSTEL,JINDALSTEL,500000,141906.4138642482,-71.61871722715037,63.934426229508205,-358093.58613575174,-5870.386657963143,30757.41828082339,-70801.49541308473,189843.51735733502,-531871.475961246
SAIL,SAIL,500000,131683.18937129417,-73.66336212574117,60.3448275862069,-368316.8106287059,-6350.289838425963,38770.06631619276,-75011.70137806315,187450.39218942335,-403326.43906269403
BAJFINANCE,BAJFINANCE,500000,124877.7763122929,-75.02444473754142,40.0,-375122.22368770716,-15004.888947508287,21202.94705772274,-39143.44628432897,59950.213810071735,-187106.94918023772
WIPRO,WIPRO,500000,101382.19555707963,-79.72356088858407,66.66666666666666,-398617.8044429203,-16609.07518512168,34798.2268904071,-119423.67933617922,128679.16982900609,-349581.4585408424
